real_in,imag_in,real_out,imag_out
1.093028e-03,-1.301859e-03,1.312542e-01,2.375301e-02
1.169925e-03,6.273142e-04,3.790965e-03,8.720451e-02
8.694934e-04,2.652744e-03,-1.424127e-01,1.288334e-01
2.081805e-04,4.561691e-03,-2.927576e-01,1.431988e-01
-7.025839e-04,6.111733e-03,-4.279488e-01,1.303851e-01
-1.677394e-03,7.064943e-03,-5.265043e-01,9.567899e-02
-2.493921e-03,7.228250e-03,-5.685252e-01,4.813818e-02
-2.942419e-03,6.489475e-03,-5.394485e-01,-1.598366e-03
-2.881697e-03,4.831758e-03,-4.326433e-01,-4.440288e-02
-2.248403e-03,2.351451e-03,-2.512603e-01,-7.317584e-02
-1.064582e-03,-7.560921e-04,-8.108823e-03,-8.358320e-02
5.793285e-04,-4.218659e-03,2.757554e-01,-7.388001e-02
2.548661e-03,-7.722235e-03,5.741101e-01,-4.437198e-02
4.683031e-03,-1.096557e-02,8.606120e-01,2.489301e-03
6.820185e-03,-1.366793e-02,1.111171e+00,6.369946e-02
8.804518e-03,-1.559655e-02,1.305247e+00,1.364892e-01
1.048569e-02,-1.657696e-02,1.426729e+00,2.169337e-01
1.171307e-02,-1.650336e-02,1.465652e+00,2.985439e-01
1.234666e-02,-1.535937e-02,1.417788e+00,3.729944e-01
1.227174e-02,-1.321251e-02,1.282554e+00,4.312405e-01
1.141478e-02,-1.021193e-02,1.064539e+00,4.639541e-01
9.752764e-03,-6.574423e-03,7.760405e-01,4.620610e-01
7.328353e-03,-2.567015e-03,4.357558e-01,4.189452e-01
4.263714e-03,1.515540e-03,6.687083e-02,3.333606e-01
7.429589e-04,5.378357e-03,-3.039529e-01,2.094437e-01
-3.007238e-03,8.749563e-03,-6.495490e-01,5.566187e-02
-6.741875e-03,1.140432e-02,-9.463155e-01,-1.167746e-01
-1.022340e-02,1.318251e-02,-1.176406e+00,-2.965163e-01
-1.323862e-02,1.399040e-02,-1.326617e+00,-4.731764e-01
-1.561453e-02,1.381566e-02,-1.391149e+00,-6.363222e-01
-1.722350e-02,1.272744e-02,-1.372744e+00,-7.760810e-01
-1.800111e-02,1.087685e-02,-1.280232e+00,-8.846018e-01
-1.795394e-02,8.480227e-03,-1.126245e+00,-9.561656e-01
-1.713892e-02,5.778993e-03,-9.261956e-01,-9.865703e-01
-1.566772e-02,3.031938e-03,-6.994806e-01,-9.743494e-01
-1.369263e-02,4.882919e-04,-4.678684e-01,-9.214741e-01
-1.139733e-02,-1.633292e-03,-2.525419e-01,-8.333234e-01
-8.985232e-03,-3.160535e-03,-7.200557e-02,-7.183128e-01
-6.658236e-03,-3.975042e-03,5.893420e-02,-5.867047e-01
-4.587076e-03,-4.035380e-03,1.313878e-01,-4.490150e-01
-2.908297e-03,-3.370383e-03,1.425186e-01,-3.154751e-01
-1.716724e-03,-2.079127e-03,9.557568e-02,-1.955253e-01
-1.064235e-03,-3.191122e-04,-7.292012e-04,-9.743314e-02
-9.644707e-04,1.725911e-03,-1.343480e-01,-2.778657e-02
-1.379548e-03,3.840245e-03,-2.896324e-01,9.443266e-03
-2.233971e-03,5.803006e-03,-4.491029e-01,1.276144e-02
-3.423249e-03,7.403210e-03,-5.951016e-01,-1.703175e-02
-4.825044e-03,8.456816e-03,-7.113449e-01,-7.718341e-02
-6.313683e-03,8.832255e-03,-7.849339e-01,-1.633585e-01
-7.764161e-03,8.455685e-03,-8.069386e-01,-2.696677e-01
-9.062570e-03,7.317645e-03,-7.729207e-01,-3.890272e-01
-1.011427e-02,5.473056e-03,-6.832320e-01,-5.136068e-01
-1.084840e-02,3.035418e-03,-5.429169e-01,-6.352684e-01
-1.121406e-02,1.648639e-04,-3.610294e-01,-7.457284e-01
-1.118968e-02,-2.943718e-03,-1.500695e-01,-8.375384e-01
-1.077958e-02,-6.077297e-03,7.516224e-02,-9.045684e-01
-1.001318e-02,-9.020881e-03,2.989289e-01,-9.424354e-01
-8.941277e-03,-1.157366e-02,5.059761e-01,-9.486591e-01
-7.625253e-03,-1.356786e-02,6.830786e-01,-9.223696e-01
-6.137296e-03,-1.488532e-02,8.201431e-01,-8.646772e-01
-4.555660e-03,-1.546330e-02,9.106184e-01,-7.786894e-01
-2.960598e-03,-1.529850e-02,9.517011e-01,-6.692818e-01
-1.429608e-03,-1.444666e-02,9.443835e-01,-5.428390e-01
-3.353782e-05,-1.301707e-02,8.933244e-01,-4.070398e-01
1.170639e-03,-1.115941e-02,8.063711e-01,-2.701297e-01
2.144563e-03,-9.053200e-03,6.941036e-01,-1.401277e-01
2.871029e-03,-6.892267e-03,5.690214e-01,-2.413616e-02
3.357289e-03,-4.870875e-03,4.446728e-01,7.230551e-02
3.641128e-03,-3.170193e-03,3.347711e-01,1.460413e-01
3.772316e-03,-1.924891e-03,2.505817e-01,1.960916e-01
3.815427e-03,-1.224221e-03,2.004810e-01,2.238673e-01
3.841885e-03,-1.105468e-03,1.894948e-01,2.328455e-01
3.925353e-03,-1.554380e-03,2.191347e-01,2.282114e-01
4.147250e-03,-2.511669e-03,2.878927e-01,2.169983e-01
4.564418e-03,-3.865977e-03,3.902193e-01,2.062920e-01
5.210907e-03,-5.470125e-03,5.171683e-01,2.026834e-01
6.093662e-03,-7.153685e-03,6.573203e-01,2.116680e-01
7.188094e-03,-8.735874e-03,7.976632e-01,2.369794e-01
8.430445e-03,-1.003866e-02,9.243721e-01,2.797918e-01
9.734046e-03,-1.091322e-02,1.024763e+00,3.390270e-01
1.099113e-02,-1.124380e-02,1.087870e+00,4.113143e-01
1.208733e-02,-1.095800e-02,1.105356e+00,4.915065e-01
1.290945e-02,-1.002970e-02,1.071966e+00,5.730994e-01
1.333342e-02,-8.473195e-03,9.848039e-01,6.476470e-01
1.328007e-02,-6.363298e-03,8.455208e-01,7.074499e-01
1.270845e-02,-3.818353e-03,6.601168e-01,7.459207e-01
1.162481e-02,-9.925292e-04,4.386165e-01,7.583753e-01
1.008351e-02,1.937636e-03,1.943109e-01,7.427316e-01
8.177025e-03,4.793878e-03,-5.778681e-02,6.996525e-01
6.047457e-03,7.402065e-03,-3.013830e-01,6.334819e-01
3.863903e-03,9.605582e-03,-5.203614e-01,5.512736e-01
1.803820e-03,1.127309e-02,-7.002292e-01,4.614691e-01
3.414480e-05,1.230648e-02,-8.292602e-01,3.726194e-01
-1.299928e-03,1.265246e-02,-8.994306e-01,2.928347e-01
-2.094523e-03,1.230434e-02,-9.068959e-01,2.288363e-01
-2.297084e-03,1.130297e-02,-8.522762e-01,1.853933e-01
-1.909996e-03,9.731962e-03,-7.405160e-01,1.650194e-01
-9.934510e-04,7.712090e-03,-5.806852e-01,1.675337e-01
3.234879e-04,5.398504e-03,-3.862528e-01,1.890409e-01
1.874295e-03,2.954992e-03,-1.731910e-01,2.230076e-01
3.468236e-03,5.500798e-04,4.106160e-02,2.611887e-01
4.920035e-03,-1.653638e-03,2.392431e-01,2.954117e-01
6.068803e-03,-3.508624e-03,4.058702e-01,3.188539e-01
6.763583e-03,-4.893953e-03,5.279591e-01,3.250248e-01
6.923199e-03,-5.730032e-03,5.970465e-01,3.106733e-01
6.529620e-03,-5.979523e-03,6.095530e-01,2.757240e-01
5.633937e-03,-5.646267e-03,5.666302e-01,2.233695e-01
4.348428e-03,-4.775805e-03,4.739908e-01,1.596984e-01
2.819057e-03,-3.469484e-03,3.422003e-01,9.180320e-02
1.233315e-03,-1.850428e-03,1.848741e-01,2.873341e-02
-2.149413e-04,-6.325043e-05,1.768892e-02,-2.018141e-02
-1.350960e-03,1.739810e-03,-1.433065e-01,-4.706581e-02
-2.042415e-03,3.408108e-03,-2.832756e-01,-4.693010e-02
-2.210904e-03,4.792634e-03,-3.892089e-01,-1.849487e-02
-1.844893e-03,5.784888e-03,-4.525910e-01,3.584796e-02
-1.003718e-03,6.312023e-03,-4.696077e-01,1.099889e-01
1.879675e-04,6.337522e-03,-4.408846e-01,1.944101e-01
1.554537e-03,5.862642e-03,-3.711897e-01,2.771041e-01
2.892433e-03,4.944850e-03,-2.699774e-01,3.454810e-01
3.989680e-03,3.679604e-03,-1.499119e-01,3.875247e-01
4.655790e-03,2.191834e-03,-2.532246e-02,3.934354e-01
4.748201e-03,6.161875e-04,8.990394e-02,3.570036e-01
4.193190e-03,-9.158515e-04,1.839746e-01,2.766331e-01
2.993305e-03,-2.260641e-03,2.466627e-01,1.561698e-01
1.230519e-03,-3.302601e-03,2.716273e-01,4.432126e-03
-9.385885e-04,-3.955754e-03,2.568818e-01,-1.653860e-01
-3.298272e-03,-4.171632e-03,2.048882e-01,-3.368777e-01
-5.595851e-03,-3.944123e-03,1.223376e-01,-4.921611e-01
-7.571478e-03,-3.309510e-03,1.934120e-02,-6.140725e-01
-8.992372e-03,-2.335155e-03,-9.232763e-02,-6.883304e-01
-9.679113e-03,-1.115222e-03,-2.005480e-01,-7.051424e-01
-9.528931e-03,2.448955e-04,-2.945772e-01,-6.602370e-01
-8.529428e-03,1.637955e-03,-3.662058e-01,-5.553647e-01
-6.763642e-03,2.945678e-03,-4.093513e-01,-3.988170e-01
-4.412863e-03,4.080098e-03,-4.223941e-01,-2.050245e-01
-1.733081e-03,4.976476e-03,-4.077395e-01,6.759414e-03
9.740919e-04,5.600145e-03,-3.714017e-01,2.144895e-01
3.395064e-03,5.945500e-03,-3.221467e-01,3.958897e-01
5.232116e-03,6.019382e-03,-2.695750e-01,5.303651e-01
6.232461e-03,5.852622e-03,-2.236941e-01,6.011382e-01
6.222862e-03,5.487107e-03,-1.931892e-01,5.971730e-01
5.135222e-03,4.970186e-03,-1.840057e-01,5.144949e-01
3.017312e-03,4.347443e-03,-1.984783e-01,3.567417e-01
1.888994e-05,3.644748e-03,-2.345530e-01,1.342474e-01
-3.614623e-03,2.868829e-03,-2.859884e-01,-1.361160e-01
-7.568893e-03,2.012691e-03,-3.434220e-01,-4.322372e-01
-1.148894e-02,1.065581e-03,-3.960717e-01,-7.290389e-01
-1.501480e-02,1.984674e-05,-4.331004e-01,-1.001744e+00
-1.782868e-02,-1.143596e-03,-4.430801e-01,-1.229268e+00
-1.967211e-02,-2.437596e-03,-4.162509e-01,-1.394789e+00
-2.037291e-02,-3.850760e-03,-3.482410e-01,-1.487862e+00
-1.986563e-02,-5.335110e-03,-2.402561e-01,-1.504272e+00
-1.820327e-02,-6.806070e-03,-9.795621e-02,-1.444376e+00
-1.555295e-02,-8.154158e-03,6.835860e-02,-1.313485e+00
-1.216972e-02,-9.241744e-03,2.425081e-01,-1.122758e+00
-8.365868e-03,-9.919502e-03,4.044404e-01,-8.884318e-01
-4.479648e-03,-1.004670e-02,5.337400e-01,-6.295460e-01
-8.391558e-04,-9.509398e-03,6.122291e-01,-3.656053e-01
2.273021e-03,-8.230105e-03,6.256046e-01,-1.143372e-01
4.636145e-03,-6.178906e-03,5.646176e-01,1.095633e-01
6.113488e-03,-3.387423e-03,4.264414e-01,2.954709e-01
6.660210e-03,4.556128e-05,2.155013e-01,4.370739e-01
6.323195e-03,3.955390e-03,-5.623441e-02,5.323358e-01
5.237611e-03,8.117920e-03,-3.694508e-01,5.836610e-01
3.600595e-03,1.226887e-02,-6.995350e-01,5.971284e-01
1.645346e-03,1.612575e-02,-1.019807e+00,5.810151e-01
-3.954840e-04,1.941553e-02,-1.304114e+00,5.424157e-01
-2.317730e-03,2.189684e-02,-1.528624e+00,4.865722e-01
-3.946179e-03,2.337161e-02,-1.676019e+00,4.203605e-01
-5.156385e-03,2.370362e-02,-1.738734e+00,3.510893e-01
-5.886299e-03,2.285063e-02,-1.716075e+00,2.828239e-01
-6.151010e-03,2.087914e-02,-1.608742e+00,2.139271e-01
-6.031592e-03,1.795023e-02,-1.422124e+00,1.402642e-01
-5.634957e-03,1.430915e-02,-1.172258e+00,6.080663e-02
-5.093344e-03,1.023621e-02,-8.827872e-01,-2.307076e-02
-4.549252e-03,6.031463e-03,-5.789896e-01,-1.109552e-01
-4.141979e-03,1.978188e-03,-2.851828e-01,-2.041314e-01
-3.982763e-03,-1.686002e-03,-2.284198e-02,-3.033426e-01
-4.132997e-03,-4.758248e-03,1.906303e-01,-4.069800e-01
-4.604873e-03,-7.117471e-03,3.452513e-01,-5.120468e-01
-5.361844e-03,-8.726890e-03,4.389602e-01,-6.147204e-01
-6.326532e-03,-9.639673e-03,4.773164e-01,-7.109488e-01
-7.395572e-03,-9.989292e-03,4.722569e-01,-7.972432e-01
-8.460688e-03,-9.956268e-03,4.393177e-01,-8.712899e-01
-9.409350e-03,-9.756349e-03,3.964572e-01,-9.316296e-01
-1.014588e-02,-9.605183e-03,3.614966e-01,-9.780297e-01
-1.060233e-02,-9.688215e-03,3.495877e-01,-1.011415e+00
-1.074634e-02,-1.013481e-02,3.711387e-01,-1.033591e+00
-1.058818e-02,-1.100586e-02,4.306354e-01,-1.047237e+00
-1.017198e-02,-1.228423e-02,5.261344e-01,-1.055138e+00
-9.568359e-03,-1.387369e-02,6.493732e-01,-1.059577e+00
-8.862288e-03,-1.560788e-02,7.867404e-01,-1.061695e+00
-8.138776e-03,-1.726909e-02,9.210218e-01,-1.061067e+00
-7.469210e-03,-1.862092e-02,1.034124e+00,-1.055848e+00
-6.908349e-03,-1.943565e-02,1.109333e+00,-1.043607e+00
-6.484567e-03,-1.952503e-02,1.133422e+00,-1.021392e+00
-6.196016e-03,-1.876753e-02,1.097960e+00,-9.854196e-01
-6.014038e-03,-1.712959e-02,1.000168e+00,-9.314094e-01
-5.894928e-03,-1.468227e-02,8.443692e-01,-8.567878e-01
-5.772769e-03,-1.158511e-02,6.418911e-01,-7.613880e-01
-5.575570e-03,-8.072624e-03,4.097413e-01,-6.472942e-01
-5.230979e-03,-4.428697e-03,1.690016e-01,-5.174620e-01
-4.682113e-03,-9.579595e-04,-5.707060e-02,-3.765037e-01
-3.912661e-03,2.024048e-03,-2.451485e-01,-2.324181e-01
-2.916148e-03,4.254451e-03,-3.759305e-01,-9.331045e-02
-1.714660e-03,5.545753e-03,-4.364319e-01,3.317593e-02
-3.527930e-04,5.816584e-03,-4.217063e-01,1.409154e-01
1.106295e-03,5.102299e-03,-3.352980e-01,2.260173e-01
2.575425e-03,3.525956e-03,-1.875519e-01,2.858354e-01
3.974846e-03,1.323763e-03,3.609943e-03,3.209688e-01
5.232939e-03,-1.192944e-03,2.147294e-01,3.350889e-01
6.298905e-03,-3.669157e-03,4.195287e-01,3.347878e-01
7.148231e-03,-5.742957e-03,5.919654e-01,3.290494e-01
7.768448e-03,-7.084631e-03,7.088535e-01,3.273039e-01
8.168602e-03,-7.431874e-03,7.522190e-01,3.386478e-01
8.374058e-03,-6.621756e-03,7.110935e-01,3.704646e-01
8.425865e-03,-4.619795e-03,5.832083e-01,4.272801e-01
8.374553e-03,-1.520906e-03,3.752957e-01,5.101759e-01
8.254175e-03,2.499181e-03,1.001335e-01,6.163927e-01
8.095989e-03,7.145022e-03,-2.208397e-01,7.396637e-01
7.920561e-03,1.205355e-02,-5.604077e-01,8.711627e-01
7.735204e-03,1.682072e-02,-8.895166e-01,9.994259e-01
7.524375e-03,2.105413e-02,-1.180012e+00,1.107180e+00
7.242276e-03,2.444619e-02,-1.408109e+00,1.176416e+00
6.843369e-03,2.671065e-02,-1.557196e+00,1.199107e+00
6.293108e-03,2.762084e-02,-1.627581e+00,1.183919e+00
5.576224e-03,2.706971e-02,-1.625706e+00,1.138965e+00
4.693853e-03,2.513960e-02,-1.550065e+00,1.056774e+00
3.654131e-03,2.207330e-02,-1.397807e+00,9.233489e-01
2.489621e-03,1.816030e-02,-1.180902e+00,7.415787e-01
1.260288e-03,1.371106e-02,-9.214116e-01,5.295806e-01
4.394885e-05,9.055101e-03,-6.419479e-01,3.083349e-01
-1.086004e-03,4.526148e-03,-3.638937e-01,9.385834e-02
-2.078558e-03,4.105452e-04,-1.072655e-01,-1.012152e-01
-2.878264e-03,-3.062267e-03,1.117878e-01,-2.654492e-01
-3.440865e-03,-5.744870e-03,2.832802e-01,-3.905670e-01
-3.735055e-03,-7.578943e-03,4.037932e-01,-4.721583e-01
-3.748976e-03,-8.595928e-03,4.758873e-01,-5.098391e-01
-3.507386e-03,-8.912037e-03,5.069083e-01,-5.080719e-01
-3.044511e-03,-8.696247e-03,5.073008e-01,-4.739562e-01
-2.412523e-03,-8.153984e-03,4.894522e-01,-4.168245e-01
-1.678222e-03,-7.503991e-03,4.663472e-01,-3.475889e-01
-9.175002e-04,-6.956519e-03,4.502758e-01,-2.777543e-01
-1.973051e-04,-6.688553e-03,4.515979e-01,-2.175649e-01
4.265186e-04,-6.816500e-03,4.770264e-01,-1.748770e-01
9.089517e-04,-7.395299e-03,5.292850e-01,-1.549248e-01
1.212605e-03,-8.417058e-03,6.069649e-01,-1.605017e-01
1.305633e-03,-9.819436e-03,7.049540e-01,-1.923053e-01
1.172787e-03,-1.149848e-02,8.155678e-01,-2.486404e-01
8.077487e-04,-1.329978e-02,9.281641e-01,-3.256575e-01
2.111423e-04,-1.504712e-02,1.030716e+00,-4.180664e-01
-6.068917e-04,-1.656044e-02,1.111258e+00,-5.196190e-01
-1.630467e-03,-1.767304e-02,1.159043e+00,-6.240051e-01
-2.857971e-03,-1.824458e-02,1.164991e+00,-7.267402e-01
-4.275131e-03,-1.816679e-02,1.122296e+00,-8.239499e-01
-5.860252e-03,-1.737271e-02,1.026804e+00,-9.122824e-01
